"fecha","cantidad","material","Tipo_Producto","segmento_producto","supergrupo_producto","grupo_producto","subgrupo_producto"
"2022-04-26","3.00","20000337001","LILI PINK","JUVENIL","INTERIOR JUVENIL","PANTY PAQX3","ALGODON"
"2022-04-30","2.00","20000337001","LILI PINK","JUVENIL","INTERIOR JUVENIL","PANTY PAQX3","ALGODON"
"2022-05-01","1.00","20000337001","LILI PINK","JUVENIL","INTERIOR JUVENIL","PANTY PAQX3","ALGODON"
"2022-05-04","1.00","20000337001","LILI PINK","JUVENIL","INTERIOR JUVENIL","PANTY PAQX3","ALGODON"
"2022-05-05","2.00","20000337001","LILI PINK","JUVENIL","INTERIOR JUVENIL","PANTY PAQX3","ALGODON"
"2022-05-08","1.00","20000337001","LILI PINK","JUVENIL","INTERIOR JUVENIL","PANTY PAQX3","ALGODON"
"2022-05-11","3.00","20000337001","LILI PINK","JUVENIL","INTERIOR JUVENIL","PANTY PAQX3","ALGODON"
"2022-05-12","2.00","20000337001","LILI PINK","JUVENIL","INTERIOR JUVENIL","PANTY PAQX3","ALGODON"
"2022-05-14","1.00","20000337001","LILI PINK","JUVENIL","INTERIOR JUVENIL","PANTY PAQX3","ALGODON"
"2022-05-15","3.00","20000337001","LILI PINK","JUVENIL","INTERIOR JUVENIL","PANTY PAQX3","ALGODON"
"2022-05-20","4.00","20000337001","LILI PINK","JUVENIL","INTERIOR JUVENIL","PANTY PAQX3","ALGODON"
"2022-05-21","1.00","20000337001","LILI PINK","JUVENIL","INTERIOR JUVENIL","PANTY PAQX3","ALGODON"
"2022-05-22","1.00","20000337001","LILI PINK","JUVENIL","INTERIOR JUVENIL","PANTY PAQX3","ALGODON"
"2022-05-23","1.00","20000337001","LILI PINK","JUVENIL","INTERIOR JUVENIL","PANTY PAQX3","ALGODON"
"2022-05-24","1.00","20000337001","LILI PINK","JUVENIL","INTERIOR JUVENIL","PANTY PAQX3","ALGODON"
"2022-05-26","1.00","20000337001","LILI PINK","JUVENIL","INTERIOR JUVENIL","PANTY PAQX3","ALGODON"
"2022-05-27","1.00","20000337001","LILI PINK","JUVENIL","INTERIOR JUVENIL","PANTY PAQX3","ALGODON"
"2022-05-29","2.00","20000337001","LILI PINK","JUVENIL","INTERIOR JUVENIL","PANTY PAQX3","ALGODON"
